"context","era","defined","name","description"
"/science/physics/classical","CE",~1600,"Classical Physics","The branch of physics that deals with the motion of bodies under the action of forces, including the special cases in which a body remains at rest. It includes mechanics, acoustics, optics, thermodynamics, and electromagnetism."
"/science/physics/quantum","CE",~1900,"Quantum Physics","Quantum physics is the branch of physics dealing with the quantum phenomena of atomic and subatomic particles. It departs from classical mechanics primarily at the quantum realm of atomic and subatomic length scales."
"/science/computer","CE",~1940,"Computer Science","The study of algorithmic processes, computational machines and computation itself. As a discipline, computer science spans a range of topics from theoretical studies of algorithms, computation and information to the practical issues of implementing computational systems in hardware and software."
"/science/computer/software","CE",~1950,"Software","Software is a collection of data or computer instructions that tell the computer how to work. This is in contrast to physical hardware, from which the system is built and actually performs the work."
"/science/computer/hardware","CE",~1940,"Hardware","Computer hardware includes the physical parts of a computer, such as the case, central processing unit (CPU), monitor, mouse, keyboard, computer data storage, graphics card, sound card, speakers and motherboard."
"/science/computer/machine-learning","CE",~1950,"Machine Learning","Machine learning is the scientific study of algorithms and statistical models that computer systems use to perform a specific task without using explicit instructions, relying on patterns and inference instead."
"/science/computer/artificial-intelligence","CE",~1950,"Artificial Intelligence","Artificial intelligence (AI) is intelligence demonstrated by machines, unlike the natural intelligence displayed by humans and animals. Leading AI textbooks define the field as the study of 'intelligent agents': any device that perceives its environment and takes actions that maximize its chance of successfully achieving its goals."
"/science/computer/network","CE",~1960,"Network","In computing, a network is a group of two or more devices that can communicate. In practice, a network is comprised of a number of different computer systems connected by physical and/or wireless connections."
"/science/computer/network/consensus","CE",~2000,"Consensus","In computer science, consensus refers to the agreement among distributed systems on a particular value or state. It is a key requirement in many distributed systems and algorithms."
"/science/computer/network/consensus/centralized","CE",~2000,"Centralized Consensus","A consensus model where one central authority has the final say in the decision-making process. This model is often used in traditional client-server architectures."
"/science/computer/network/consensus/distributed","CE",~2000,"Distributed Consensus","A consensus model where multiple network nodes work together to achieve consensus. This model is often used in distributed systems like blockchain."
"/science/computer/network/consensus/distributed/p2p","CE",~2000,"Peer-to-Peer Consensus","A consensus model where each participant (peer) in the network has equal authority and can act as both a server and a client. This model is often used in peer-to-peer networks."
"/science/computer/network/consensus/distributed/p2p/blockchain","CE",~2008,"Blockchain Consensus","A consensus model used in blockchain networks where consensus is achieved by various mechanisms like Proof of Work or Proof of Stake to validate transactions and create new blocks."
"/science/anthropology","CE",~1800,"Anthropology","The scientific study of humans, human behavior and societies in the past and present. Social anthropology studies patterns of behaviour and cultural anthropology studies cultural meaning, including norms and values."
"/science/anthropology/cultural","CE",~1800,"Cultural Anthropology","A branch of anthropology focused on the study of cultural variation among humans. It is in contrast to social anthropology, which perceives cultural variation as a subset of a posited anthropological constant."
"/science/anthropology/biological","CE",~1800,"Biological Anthropology","Also known as physical anthropology, biological anthropology is a scientific discipline concerned with the biological and behavioral aspects of human beings, their extinct hominin ancestors, and related non-human primates, particularly from an evolutionary perspective."
"/science/theory","BCE",~600,"Theory","In science, a theory is a tested, well-substantiated, unifying explanation for a set of verified, proven hypotheses. A theory is always backed by evidence; a theory is not just a guess."
"/science/theory/evolution","CE",~1850,"Evolution Theory","The process by which different kinds of living organisms are thought to have developed and diversified from earlier forms during the history of the earth. The theory of evolution is a fundamental concept in biology."
"/science/theory/relativity","CE",~1905,"Relativity Theory","The theory of relativity usually encompasses two interrelated theories by Albert Einstein: special relativity and general relativity. Special relativity applies to all physical phenomena in the absence of gravity. General relativity explains the law of gravitation and its relation to other forces of nature."
"/science/astronomy","BCE",~3500,"Astronomy","The scientific study of celestial objects, space, and the physical universe as a whole. The earliest records of astronomy date back to ancient Mesopotamian cultures and early civilizations in the Americas circa 3500 B.C."
"/science/astronomy/cosmology","CE",~1900,"Cosmology","The scientific study of the large scale properties of the universe as a whole. It endeavors to use the scientific method to understand the origin, evolution and ultimate fate of the entire Universe."
"/science/astronomy/astrophysics","CE",~1900,"Astrophysics","The branch of astronomy that employs the principles of physics and chemistry to ascertain the nature of the astronomical objects, rather than their positions or motions in space."
"/science/earth","BCE",~3500,"Earth Science","The branch of science dealing with the physical constitution of the earth and its atmosphere. Earth science is the study of our planet’s physical characteristics, from earthquakes to raindrops, and floods to fossils."
"/science/earth/geology","CE",~1800,"Geology","The science that deals with the earth's physical structure and substance, its history, and the processes that act on it. Geology can also refer generally to the study of the solid features of any terrestrial planet or natural satellite such as Mars or the Moon."
"/science/earth/climatology","CE",~1800,"Climatology","The scientific study of climate, scientifically defined as weather conditions averaged over a period of time. This modern field of study is regarded as a branch of the atmospheric sciences and a subfield of physical geography."
"/science/earth/oceanography","CE",~1800,"Oceanography","The branch of Earth science that studies the ocean. It covers a wide range of topics, including ecosystem dynamics; ocean currents, waves, and geophysical fluid dynamics; plate tectonics and the geology of the sea floor; and fluxes of various chemical substances and physical properties within the ocean and across its boundaries."
"/science/life","BCE",~3500,"Life Science","The sciences concerned with the study of living organisms, including biology, botany, zoology, microbiology, physiology, biochemistry, and related subjects."
"/science/life/botany","BCE",~3000,"Botany","The scientific study of plants, including their physiology, structure, genetics, ecology, distribution, classification, and economic importance."
"/science/life/zoology","BCE",~3000,"Zoology","The scientific study of the behavior, structure, physiology, classification, and distribution of animals."
"/science/life/ecology","CE",~1900,"Ecology","The branch of biology that deals with the relations of organisms to one another and to their physical surroundings."
"/humanities/philosophy","BCE",~600,"Philosophy","The study of fundamental questions about existence, reality, knowledge, values, reason, mind, and ethics. The term was probably coined by Pythagoras (c. 570 – 495 BCE). Philosophical methods include questioning, critical discussion, rational argument, and systematic presentation."
"/humanities/philosophy/mind","CE",~1900,"Philosophy of Mind","A branch of philosophy that studies the nature of the mind, mental events, mental functions, mental properties, consciousness, and their relationship to the physical body."
"/humanities/philosophy/ethics","BCE",~400,"Ethics","A branch of philosophy that involves systematizing, defending, and recommending concepts of right and wrong conduct. The field of ethics, along with aesthetics, concerns matters of value, and thus comprises the branch of philosophy called axiology."
"/humanities/philosophy/logic","BCE",~400,"Logic","The branch of philosophy that studies the structure of arguments. Logic is often divided into three parts: inductive reasoning, abductive reasoning, and deductive reasoning."
"/humanities/history","BCE",~3500,"History","The study of past events. History can also refer to the academic discipline which uses a narrative to examine and analyse a sequence of past events, and objectively determine the patterns of cause and effect that determine them."
"/humanities/history/ancient","BCE",~3500,"Ancient History","The aggregate of past events from the beginning of recorded human history and extending as far as the Early Middle Ages or the Postclassical Era."
"/humanities/history/medieval","CE",~500,"Medieval History","The period of European history from the fall of the Roman Empire in the West (5th century) to the Renaissance, or roughly the 11th century."
"/humanities/history/modern","CE",~1500,"Modern History","The history of the world from the late Middle Ages (or Early Modern period) to the present."
"/humanities/literature","BCE",~2600,"Literature","Written works, especially those considered of superior or lasting artistic merit. The earliest surviving works of literature come from Ancient Sumer and were written in cuneiform, marking the beginning of literature."
"/humanities/literature/poetry","BCE",~2600,"Poetry","A form of literature that uses aesthetic and rhythmic qualities of language—such as phonaesthetics, sound symbolism, and metre—to evoke meanings in addition to, or in place of, the prosaic ostensible meaning."
"/humanities/literature/prose","BCE",~2600,"Prose","A form of language that has no formal metrical structure. It applies a natural flow of speech, and ordinary grammatical structure rather than rhythmic structure, such as in the case of traditional poetry."
"/humanities/literature/drama","BCE",~500,"Drama","A genre of literature that uses dialogue and performance. It's a branch of literature that involves writing pieces for the stage—that is, for presentation in front of an audience."
"/science/chemistry","CE",~1600,"Chemistry","The branch of science that deals with the identification of the substances of which matter is composed; the investigation of their properties and the ways in which they interact, combine, and change; and the use of these processes to form new substances. The modern discipline of chemistry began during the Scientific Revolution in the 16th century."
"/science/computer/artificial-intelligence/deep-learning","CE",~2010,"Deep Learning","A subset of machine learning in artificial intelligence (AI) that has networks capable of learning unsupervised from data that is unstructured or unlabeled. Also known as deep neural learning or deep neural network."
"/science/theory/evolution/natural-selection","CE",~1859,"Natural Selection","A process in nature in which organisms possessing certain genotypic characteristics that make them better adjusted to an environment tend to survive, reproduce, increase in number or frequency, and therefore, are able to transmit and perpetuate their essential genotypic qualities to succeeding generations."
"/humanities","BCE",~3500,"Humanities","The academic disciplines that study aspects of human society and culture. In the Middle Ages, the term contrasted with divinity and referred to what is now called classics, the main area of secular study in universities at the time."
"/art","BCE",~35000,"Art","The expression or application of human creative skill and imagination, typically in a visual form such as painting or sculpture, producing works to be appreciated primarily for their beauty or emotional power. The earliest known form of art are cave paintings from around 35000 BCE."
"/art/sculpture","BCE",~35000,"Sculpture","The branch of the visual arts that operates in three dimensions. It is one of the plastic arts. Durable sculptural processes originally used carving (the removal of material) and modelling (the addition of material, as clay), in stone, metal, ceramics, wood and other materials."
"/art/photography","CE",~1839,"Photography","The art, application and practice of creating durable images by recording light or other electromagnetic radiation, either electronically by means of an image sensor, or chemically by means of a light-sensitive material such as photographic film."
"/science/social","CE",~1900,"Social Science","The branch of science devoted to the study of societies and the relationships among individuals within those societies. The term was formerly used to refer to the field of sociology, the original 'science of society', established in the 19th century."
"/science/social/psychology","CE",~1879,"Psychology","The scientific study of the human mind and its functions, especially those affecting behavior in a given context. The discipline was established in the late 19th century."
"/science/physiology","CE",~1800,"Physiology","The scientific study of normal mechanisms, and their interactions, which work within a living system. A sub-discipline of biology, its focus is in how organisms, organ systems, organs, cells, and bio-molecules carry out the chemical and physical functions that exist in a living system."
"/science/physiology/cardiology","CE",~1900,"Cardiology","The study and treatment of disorders of the heart and the blood vessels. A person withheart disease or cardiovascular disease may be referred to a cardiologist. Cardiology is a branch of internal medicine."
"/science/physiology/neurology","CE",~1800,"Neurology","The branch of medicine dealing with disorders of the nervous system. Neurology deals with the diagnosis and treatment of all categories of conditions and disease involving the central and peripheral nervous systems, including their coverings, blood vessels, and all effector tissue, such as muscle."
"/reference","CE",~1450,"Reference","Reference is a relation between objects in which one object designates, or acts as a means by which to connect to or link to, another object. The first object in this relation is said to refer to the second object. The second object, the one to which the first object refers, is called the referent of the first object."
"/reference/encyclopedia","CE",~1700,"Encyclopedia","A type of reference work – a compendium holding a summary of information from either all branches of knowledge or a particular branch of knowledge. Encyclopedias are divided into articles or entries, which are usually accessed alphabetically by article name."
"/reference/dictionary","CE",~1604,"Dictionary","A book or electronic resource that lists the words of a language (typically in alphabetical order) and gives their meaning, or gives the equivalent words in a different language, often also providing information about pronunciation, origin, and usage."
"/spirituality","CE",~500,"Spirituality","The quality of being concerned with the human spirit or soul as opposed to material or physical things. Spirituality is a broad concept with room for many perspectives. In general, it includes a sense of connection to something bigger than ourselves, and it typically involves a search for meaning in life."
"/spirituality/religion","BCE",~2000,"Religion","A social-cultural system of designated behaviors and practices, morals, worldviews, texts, sanctified places, prophecies, ethics, or organizations, that relates humanity to supernatural, transcendental, and spiritual elements."
"/spirituality/meditation","BCE",~1500,"Meditation","A practice where an individual uses a technique – such as mindfulness, or focusing the mind on a particular object, thought, or activity – to train attention and awareness, and achieve a mentally clear and emotionally calm and stable state."
"/education","BCE",~3000,"Education","The process of facilitating learning, or the acquisition of knowledge, skills, values, beliefs, and habits. Educational methods include teaching, training, storytelling, discussion and directed research."
"/education/school","CE",~425,"School","An institution designed to provide learning spaces and learning environments for the teaching of students (or "pupils") under the direction of teachers. The concept of grouping students together in a centralized location for learning has existed since Classical antiquity."
"/education/lecture","CE",~1300,"Lecture","An oral presentation intended to present information or teach people about a particular subject, for example by a university or college teacher. Lectures are used to convey critical information, history, background, theories, and equations."
"/education/online/lecture","CE",~2000,"Online Lecture","A digital version of a lecture that can be accessed online. It allows students to listen to lectures from anywhere and at any time."
"/education/primary","CE",~1600,"Primary Education","Also known as elementary education, this is the first stage of formal education, coming after preschool and before secondary education."
"/education/secondary","CE",~1400,"Secondary Education","The stage of education following primary education. Secondary education includes the final stage of compulsory education and in many countries it isentirely compulsory. The next stage of education is usually college or university."
"/education/tertiary","CE",~1800,"Tertiary Education","Higher education, is the educational level following the completion of a school providing a secondary education. The World Bank, for example, defines tertiary education as including universities as well as institutions that teach specific capacities of higher learning such as colleges, technical training institutes, community colleges, nursing schools, research laboratories, centers of excellence, and distance learning centers."
"/education/research","CE",~1600,"Research Education","Education and training in research methods. This can be within a formal educational setting or within a research-based job. It involves learning about a variety of methods that can be used to understand a particular research question."
"/education/research/academic","CE",~1800,"Academic Research","A specific type of research that involves a more systematic and deep approach towards the search of a particular topic. Academic research involves a special methodology that is not usually used by other researchers like journalists or entrepreneurs."
"/education/research/scientific","CE",~1600,"Scientific Research","Research conducted for the purpose of contributing towards science by the systematic collection, interpretation and evaluation of data and that, too, in a planned manner."
"/education/research/historical","CE",~1800,"Historical Research","Research involving the study of events, ideas, people, cultures, and more from the past. This type of research requires a significant amount of interpretation and a strong understanding of the sources being used."
"/health","CE",~1800,"Health","A state of complete physical, mental and social well-being and not merely the absence of disease or infirmity."
"/health/mental","CE",~1900,"Mental Health","A level of psychological well-being, or an absence of mental illness. It is the state of someone who is 'functioning at a satisfactory level of emotional and behavioral adjustment'."
"/health/nutrition","CE",~1900,"Nutrition","The science that interprets the nutrients and other substances in food in relation to maintenance, growth, reproduction, health and disease of an organism. It includes food intake, absorption, assimilation, biosynthesis, catabolism and excretion."
"/health/exercise","CE",~1900,"Exercise","Any bodily activity that enhances or maintains physical fitness and overall health and wellness. It is performed for various reasons, to aid growth and improve strength, preventing aging, developing muscles and the cardiovascular system, honing athletic skills, weight loss or maintenance, improving health and also for enjoyment."
"/health/physical","CE",~1800,"Physical Health","A state of physical well-being in which a person can perform daily activities without restrictions. It implies the absence of disease or disorder and is the condition of a person’s body or physical abilities."
"/health/physical/orthopedics","CE",~1700,"Orthopedics","The branch of medicine dealing with the correction of deformities of bones or muscles. This specialty, originally created to treat children who had crippling or debilitating diseases, now cares for patients of all ages, from newborns with clubfeet, to young athletes requiring arthroscopic surgery, to older people with arthritis."
"/health/physical/cardiology","CE",~1900,"Cardiology","The study and treatment of disorders of the heart and the blood vessels. A person with heart disease or cardiovascular disease may be referred to a cardiologist."
"/health/physical/neurology","CE",~1800,"Neurology","The branch of medicine dealing with disorders of the nervous system. Neurology deals with the diagnosis and treatment of all categories of conditions and disease involving the central and peripheral nervous systems, includingtheir coverings, blood vessels, and all effector tissue, such as muscle."
"/help","CE",~2000,"Help","The action of helping someone to do something, which can be physical or mental assistance. In the context of online platforms, it often refers to sections or features designed to assist users in understanding and navigating the platform."
"/help/tutorial","CE",~2000,"Tutorial","A method of transferring knowledge and may be used as a part of a learning process. More interactive and specific than a book or a lecture, a tutorial seeks to teach by example and supply the information to complete a certain task."
"/help/faq","CE",~2000,"FAQ","Frequently Asked Questions (FAQ) is a list of answers to common questions about a product or service. In the context of websites, it is a particularly useful method for answering user questions and addressing their problems."
"/theatre","BCE",~600,"Theatre","The collaborative form of fine art that uses live performers, typically actors or actresses, to present the experience of a real or imagined event before a live audience in a specific place, often a stage."
"/theatre/play","BCE",~600,"Play","A form of literature written by a playwright, usually consisting of dialogue or singing between characters, intended for theatrical performance rather than just reading."
"/theatre/musical","CE",~1800,"Musical Theatre","A form of theatrical performance that combines songs, spoken dialogue, acting, and dance. The story and emotional content of a musical – humor, pathos, love, anger – are communicated through words, music, movement and technical aspects of the entertainment as an integrated whole."
"/narrative","BCE",~2000,"Narrative","A report of related events presented to listeners or readers, in words arranged in a logical sequence. A story is taken as a synonym of narrative. A narrative, or story, is told by a narrator who may be a direct part of that experience, and he or she often shares the experience as a first-person narrator."
"/narrative/fiction","BCE",~2000,"Fiction","Literature created from the imagination, not presented as fact, though it may be based on a true story or situation. Types of literature in the fiction genre include the novel, short story, and novella."
"/narrative/fiction/science","CE",~1800,"Science Fiction","A genre of speculative fiction that typically deals with imaginative and futuristic concepts such as advanced science and technology, space exploration, time travel, parallel universes, and extraterrestrial life."
"/narrative/fiction/fantasy","CE",~1900,"Fantasy","A genre of speculative fiction set in a fictional universe, often inspired by real world myth and folklore. Its roots are in oral traditions, which then became literature and drama."
"/narrative/fiction/literature","BCE",~2000,"Literature","Written works, especially those considered of superior or lasting artistic merit. In much of the world, the earliest forms of written literature appeared in ancient Mesopotamia, Egypt, and China."
"/narrative/fiction/film","CE",~1900,"Film","A series of still images that, when shown on a screen, create the illusion of moving images. This optical illusion causes the audience to perceive continuous motion between separate objects viewed rapidly in succession."
"/narrative/fiction/television","CE",~1950,"Television","A telecommunication medium used for transmitting moving images in monochrome (black and white), or in color, and in two or three dimensions and sound. It can refer to a television set, a television show, or the medium oftelevision transmission."
"/narrative/non-fiction","CE",~1700,"Non-fiction","Prose writing that is based on facts, real events, and real people, such as biography or history."
"/narrative/non-fiction/biography","CE",~1700,"Biography","An account of a person's life written by another person. It involves more than just the basic facts like education, work, relationships, and death; it portrays a person's experience of these life events."
"/narrative/non-fiction/documentary","CE",~1900,"Documentary","Non-fictional, motion picture intended to document some aspect of reality, primarily for the purposes of instruction, education, or maintaining a historical record."
"/narrative/non-fiction/journalism","CE",~1600,"Journalism","The production and distribution of reports on recent events. The word journalism applies to the occupation, as well as citizen journalists who gather and publish information based on facts and supported with proof or evidence."
"/narrative/non-fiction/essay","CE",~1600,"Essay","A short piece of writing on a particular subject. The word essay derives from the French infinitive essayer, 'to try' or 'to attempt'. In English essay first meant 'a trial' or 'an attempt', and this is still an alternative meaning."
"/narrative/non-fiction/writing/report","CE",~1700,"Report Writing","The creation of a structured document that describes something observed or researched. The writer may use third-person voice, articulate a clear point of view on the subject, and present the document in an organized, concise and clear manner."
"/narrative/non-fiction/writing/report/school","CE",~1800,"School Report","A type of report writing produced in an academic setting. School reports may be on a variety of topics including individual student performance, classroom activities, and research projects."
"/narrative/non-fiction/writing/report/news","CE",~1600,"News Report","A media text that informs readers about a real-life event or issue that is factual and timely. News reports are found in newspapers and their purpose is to inform readers and help them to form an opinion about an issue."
"/narrative/non-fiction/writing/report/research","CE",~1700,"Research Report","A document prepared by an analyst or strategist who is a part of the investment research team in a stock brokerage or investment bank. A research report may focus on a specific stock or industry sector, a currency, commodity or fixed-income instrument, or on a geographic region or country."
"/technology","CE",~1800,"Technology","The sum of techniques, skills, methods, and processes used in the production of goods or services or in the accomplishment of objectives, such as scientific investigation. Technology can be the knowledge of techniques, processes, and the like, or it can be embedded in machines to allow for operation without detailed knowledge of their workings."
"/technology/information","CE",~1950,"Information Technology","The use of computers to store, retrieve, transmit, and manipulate data or information. IT is typically used within the context of business operations as opposed to personal or entertainment technologies."
"/technology/information/internet","CE",~1980,"Internet","The global system of interconnected computer networks that use the Internet protocol suite (TCP/IP) to link devices worldwide. It is a network of networks that consists of private, public, academic, business, and government networks of local to global scope, linked by a broad array of electronic, wireless, and optical networking technologies."
"/technology/information/software","CE",~1950,"Software","A collection of data or computer instructions that tell the computer how to work. This is in contrast to physicalhardware, from which the system is built and actually performs the work."
"/technology/engineering","CE",~1800,"Engineering","The use of scientific principles to design and build machines, structures, and other items, including bridges, tunnels, roads, vehicles, and buildings. The discipline of engineering encompasses a broad range of more specialized fields of engineering, each with a more specific emphasis on particular areas of applied mathematics, applied science, and types of application."
"/technology/engineering/mechanical","CE",~1800,"Mechanical Engineering","The discipline that applies engineering physics, engineering mathematics, and materials science principles to design, analyze, manufacture, and maintain mechanical systems. It is one of the oldest and broadest of the engineering disciplines."
"/technology/engineering/electrical","CE",~1800,"Electrical Engineering","A professional engineering discipline that generally deals with the study and application of electricity, electronics, and electromagnetism. This field first became an identifiable occupation in the latter half of the 19th century after commercialization of the electric telegraph, the telephone, and electric power distribution and use."
"/technology/engineering/civil","CE",~1800,"Civil Engineering","A professional engineering discipline that deals with the design, construction, and maintenance of the physical and naturally built environment, including public works such as roads, bridges, canals, dams, airports, sewerage systems, pipelines, structural components of buildings, and railways."
"/art/painting","BCE",~17000,"Painting","An artistic form of visual expression involving the application of pigment to a surface, typically canvas, paper, or a wall. The earliest known paintings are at the Grotte Chauvet in France, which date back about 32,000 years."


