acronym,context,era,defined,name,description,alternatives
IaaS,/,CE,2010,Infrastructure as a Service,A form of cloud computing that provides virtualized computing resources over the internet.,
ICC,/,CE,2002,International Criminal Court,"An intergovernmental organization and international tribunal that sits in The Hague, Netherlands. It is the first and only permanent international court with jurisdiction to prosecute individuals for the international crimes of genocide, crimes against humanity, war crimes, and the crime of aggression.",
ICE,/,CE,2003,Immigration and Customs Enforcement,"A federal law enforcement agency under the U.S. Department of Homeland Security, principally responsible for immigration enforcement, with additional responsibilities in countering transnational crime.",
ICJ,/,CE,1945,International Court of Justice,The principal judicial organ of the United Nations (UN). It settles legal disputes submitted by states and gives advisory opinions on legal issues referred by authorized U.N. organs and specialized agencies.,
IEC,/,CE,1906,International Electrotechnical Commission,"A non-profit, non-governmental international standards organization that prepares and publishes International Standards for all electrical, electronic and related technologies.",
IMF,/,CE,1945,International Monetary Fund,"An international financial institution headquartered in Washington, D.C., consisting of 190 countries working to foster global monetary cooperation, secure financial stability, facilitate international trade, promote high employment and sustainable economic growth, and reduce poverty around the world.",
IMHO,/,CE,1990,In My Humble Opinion,"An internet slang expression used to preface a statement, opinion, or estimate wherein the speaker wishes to convey a sense of modesty, deference to the audience, or even self-effacement.",
IMO,/,CE,1990,In My Opinion,"An internet slang phrase used often in message board posts, on social networking sites, in texting, and in instant messaging, to preface a comment or an opinion as being the personal opinion of the poster.",
IMSI,/,CE,1988,International Mobile Subscriber Identity,"A number that uniquely identifies every user of a cellular network. It is stored as a 64-bit field and is sent by the mobile device to the network. It is also used for acquiring other details of the mobile in the home location register (HLR) or as locally copied in the visitor location register (VLR). To prevent eavesdroppers from identifying and tracking the subscriber on the radio interface, the IMSI is sent as rarely as possible and a randomly-generated TMSI is sent instead.",
INFN,/science/physics,CE,1951,Istituto Nazionale di Fisica Nucleare,"The coordinating institution for nuclear, particle and astroparticle physics in Italy. It was founded in 1951 in Rome. In the same year, it opened its first branch in Naples and the following year in Padua. The institution participates in the CMS experiment at the CERN Large Hadron Collider (LHC) and is also involved in research at the Frascati National Laboratories, the Gran Sasso National Laboratories, the Laboratori Nazionali del Sud (LNS) and the Laboratori Nazionali di Legnaro (LNL).",
IoT,/,CE,1999,Internet of Things,"The network of physical objects?'things'?that are embedded with sensors, software, and other technologies for the purpose of connecting and exchanging data with other devices and systems over the internet.",
IOW,/,CE,1990,In Other Words,"A phrase used to introduce a more simple, different, or creative explanation or metaphor.",
IP,/,CE,1983,Intellectual Property,"A category of property that includes intangible creations of the human intellect. It encompasses patents, copyrights, and trademarks, among other types.",Internet Protocol
IP,science/computer/network/tcp,CE,1981,Internet Protocol,The principal communications protocol in the Internet protocol suite for relaying datagrams across network boundaries.,Ingress Protection
IPR,/,CE,1967,Intellectual Property Rights,"Legal rights granted with the aim to protect creations of the intellect. These rights include trademarks, copyright, patents, industrial design rights, and in some jurisdictions trade secrets.",
IRS,/,CE,1862,Internal Revenue Service,"The revenue service of the United States federal government responsible for collecting taxes and administering the Internal Revenue Code, the main body of federal statutory tax law.",
ISO,/,CE,1947,International Organization for Standardization,"An independent, non-governmental international organization with a membership of 165 national standards bodies. It develops and publishes international standards.",
IT,/,CE,1958,Information Technology,"The use of computers to store, retrieve, transmit, and manipulate data or information. IT is typically used within the context of business operations as opposed to personal or entertainment technologies.",
J-PARC,/science/physics,CE,2007,Japan Proton Accelerator Research Complex,"A high intensity proton accelerator facility for materials and life science experiments using neutrons and muons. It is located at Tokai, Ibaraki, Japan.",
JAEA,/science/physics,CE,2005,Japan Atomic Energy Agency,"A Japanese research and development institute which was created on October 1, 2005 by the merger of the Japan Atomic Energy Research Institute and the Japan Nuclear Cycle Development Institute.",
JINR,/science/physics,CE,1956,Joint Institute for Nuclear Research,"An international intergovernmental scientific research organization in Dubna, Moscow Oblast, Russia. It was established on the basis of the USSR State Committee for the Utilization of Atomic Energy (now the Rosatom State Corporation) on 26 March 1956.",
JPEG,/,CE,1992,Joint Photographic Experts Group,"A commonly used method of lossy compression for digital images, particularly for those images produced by digital photography.",
JS,/,CE,1995,JavaScript,"A high-level, interpreted programming language that conforms to the ECMAScript specification. JavaScript has curly-bracket syntax, dynamic typing, prototype-based object-orientation, and first-class functions.",
JSON,/,CE,2001,JavaScript Object Notation,An open standard file format and data interchange format that uses human-readable text to store and transmit data objects consisting of attribute?value pairs and arrays (or other serializable values).,
JSON,/,CE,2001,JavaScript Object Notation,An open-standard file format that uses human-readable text to transmit data objects consisting of attribute-value pairs and array data types (or any other serializable value).,
KEK,/science/physics,CE,1997,High Energy Accelerator Research Organization,"A Japanese organization whose purpose is to operate the largest particle physics laboratory in Japan, which is situated in Tsukuba, Ibaraki prefecture.",
KPI,/,CE,1990,Key Performance Indicator,A type of performance measurement. KPIs evaluate the success of an organization or of a particular activity in which it engages.,
LAN,/,CE,1970,Local Area Network,"A computer network that interconnects computers within a limited area such as a residence, school, laboratory, university campus or office building.",
LANL,/science/physics,CE,1943,Los Alamos National Laboratory,"One of two laboratories in the United States where classified work towards the design of nuclear weapons has been undertaken. LANL is a United States Department of Energy national laboratory, managed and operated by Los Alamos National Security (LANS), located in Los Alamos, New Mexico. The laboratory is one of the largest science and technology institutions in the world. It conducts multidisciplinary research in fields such as national security, space exploration, renewable energy, medicine, nanotechnology, and supercomputing.",
LCD,/,CE,1968,Liquid Crystal Display,A flat-panel display or other electronically modulated optical device that uses the light-modulating properties of liquid crystals combined with polarizers.,
LED,/,CE,1962,Light Emitting Diode,"A semiconductor light source that emits light when current flows through it. Electrons in the semiconductor recombine with electron holes, releasing energy in the form of photons.",Lead Evaluator Designator
LHC,/science/physics,CE,2008,Large Hadron Collider,"The world's largest and highest-energy particle collider. It was built by the European Organization for Nuclear Research (CERN) between 1998 and 2008 in collaboration with over 10,000 scientists and hundreds of universities and laboratories, as well as more than 100 countries.",
Li-ion,/,CE,1991,Lithium-ion,A type of rechargeable battery. Lithium-ion batteries are commonly used for portable electronics and electric vehicles and are growing in popularity for military and aerospace applications.,
LLNL,/science/physics,CE,1952,Lawrence Livermore National Laboratory,"A federal research facility in Livermore, California, United States, founded by the University of California, Berkeley in 1952. It is primarily funded by the U.S. Department of Energy (DOE) and managed and operated by Lawrence Livermore National Security, LLC (LLNS), a partnership of the University of California, Bechtel, BWX Technologies, AECOM, and Battelle Memorial Institute in affiliation with the Texas A&M University System. The laboratory is known for its work in nuclear weapons, nonproliferation, military intelligence, defense, and homeland security.",
LOL,/,CE,1980,Laughing Out Loud,"A popular element of Internet slang, used to denote great amusement in chat and online conversation.",
LTE,/,CE,2008,Long-Term Evolution,"A standard for wireless broadband communication for mobile devices and data terminals, based on the GSM/EDGE and UMTS/HSPA technologies.",
M&A,/,CE,1990,Mergers and Acquisitions,"A general term that refers to the consolidation of companies or assets through various types of financial transactions, including mergers, acquisitions, consolidations, tender offers, purchase of assets and management acquisitions.",
ML,/,CE,1959,Machine Learning,"A field of computer science that uses statistical techniques to give computer systems the ability to 'learn' from data, without being explicitly programmed.",
MLB,/,CE,2000,Major League Baseball,"A professional baseball organization, the oldest of the four major professional sports leagues in the United States and Canada. A total of 30 teams play in the National League (NL) and American League (AL), with 15 teams in each league. The NL and AL were formed as separate legal entities in 1876 and 1901 respectively. After cooperating but remaining legally separate entities beginning in 1903, the leagues merged into a single organization led by the Commissioner of Baseball in 2000.",
MMS,/,CE,2002,Multimedia Messaging Service,A standard way to send messages that include multimedia content to and from a mobile phone over a cellular network.,
MP3,/,CE,1993,MPEG Audio Layer-3,"A coding format for digital audio which uses a form of lossy data compression. It is a common audio format for consumer audio streaming or storage, as well as a de facto standard of digital audio compression for the transfer and playback of music on most digital audio players.",
MP4,/,CE,2001,MPEG-4 Part 14,"A digital multimedia container format most commonly used to store video and audio, but it can also be used to store other data such as subtitles and still images.",
MPEG,/,CE,1993,Moving Picture Experts Group,An organization that develops standards for digital video and audio compression. It operates under the auspices of the International Organization for Standardization (ISO). The term also refers to the family of digital video compression standards and file formats developed by the group.,
MSC,/,CE,1986,Mobile Switching Center,"A component of 2G and 3G cellular networks that approves or rejects voice communications from one device to another and helps manage roaming. It uses the Home Location Register (HLR) or a Visitor Location Register (VLR) and the device?s SIM to authenticate the subscriber, determine whether they have permission to access the network, and ensure that the subscriber gets charged properly for any services they use.",
NABBP,/,CE,1857,National Association of Base Ball Players,"The first organization governing American baseball. The first convention of sixteen New York City area clubs in 1857 practically terminated the Knickerbocker era. The last convention, with hundreds of members represented only via state associations, provoked the establishment of separate professional and amateur associations in 1871.",Knickerbocker Era
NACA,/,CE,1915,National Advisory Committee for Aeronautics,"A U.S. federal agency founded to undertake, promote, and institutionalize aeronautical research. It was dissolved in 1958 and its assets and personnel were transferred to NASA.",
NAFTA,/,CE,1994,North American Free Trade Agreement,"An agreement signed by Canada, Mexico, and the United States, creating a trilateral trade bloc in North America.",
NAPBBP,/,CE,1871,National Association of Professional Base Ball Players,"The first professional baseball league. Founded in 1871 and continuing through the 1875 season, it succeeded and incorporated several professional clubs from the previous National Association of Base Ball Players (NABBP) of 1857-1870, sometimes called the amateur association.",the amateur association
NASA,/,CE,1958,National Aeronautics and Space Administration,"An independent agency of the U.S. federal government responsible for the civilian space program, as well as aeronautics and space research.",
NASCAR,/,CE,1948,National Association for Stock Car Auto Racing,An American auto racing sanctioning and operating company that is best known for stock car racing.,
NATO,/,CE,1949,North Atlantic Treaty Organization,"An intergovernmental military alliance between 29 North American and European countries. The organization implements the North Atlantic Treaty that was signed on 4 April 1949. NATO constitutes a system of collective defence whereby its independent member states agree to mutual defence in response to an attack by any external party. NATO's headquarters are located in Haren, Brussels, Belgium, while the headquarters of Allied Command Operations is near Mons, Belgium.",
NBA,/,CE,1946,National Basketball Association,A professional basketball league in North America composed of 30 teams. It is one of the major professional sports leagues in the United States and Canada and is recognized by the International Basketball Federation as the governing body for professional basketball worldwide.,
NFC,/,CE,2004,Near Field Communication,A set of communication protocols for communication between two electronic devices over a distance of 4 cm (1 1/2 in) or less.,
NFC,/,CE,1970,National Football Conference,"One of the two conferences of the National Football League (NFL), the highest professional level of American football in the United States. This conference and its counterpart, the American Football Conference (AFC), currently contain 16 teams each, making up the 32 teams of the NFL.",
NFL,/,CE,1920,National Football League,"A professional American football league consisting of 32 teams, divided equally between the National Football Conference (NFC) and the American Football Conference (AFC). The NFL is one of the four major professional sports leagues in North America, and the highest professional level of American football in the world.",
NHL,/,CE,1917,National Hockey League,"A professional ice hockey league in North America, currently comprising 31 teams: 24 in the United States and 7 in Canada. The NHL is considered to be the premier professional ice hockey league in the world, and one of the major professional sports leagues in the United States and Canada.",
NL,/,CE,1876,National League,"The older of two leagues constituting Major League Baseball (MLB) in the United States and Canada, and the world's oldest current professional team sports league. Founded on February 2, 1876, to replace the National Association of Professional Base Ball Players (NAPBBP) of 1871-1875, the NL is sometimes called the Senior Circuit, in contrast to MLB's other league, the American League, which was founded 25 years later.",Senior Circuit
NLP,/,CE,1950,Natural Language Processing,"A subfield of linguistics, computer science, and artificial intelligence concerned with the interactions between computers and human language.",
NoSQL,/,CE,2009,Not Only SQL,A type of database that provides a mechanism for storage and retrieval of data that is modeled in means other than the tabular relations used in relational databases.,
NSA,/,CE,1952,National Security Agency,"A national-level intelligence agency of the United States Department of Defense, under the authority of the Director of National Intelligence.",
OLED,/,CE,2007,Organic Light Emitting Diode,A light-emitting diode (LED) in which the emissive electroluminescent layer is a film of organic compound that emits light in response to an electric current.,
OPEC,/,CE,1960,Organization of Petroleum Exporting Countries,"An intergovernmental organization of 13 nations. Founded on 14 September 1960 in Baghdad by the first five members (Iran, Iraq, Kuwait, Saudi Arabia, and Venezuela), and headquartered since 1965 in Vienna, Austria.",
ORNL,/science/physics,CE,1943,Oak Ridge National Laboratory,"An American multiprogram science and technology national laboratory sponsored by the U.S. Department of Energy (DOE) and administered, managed, and operated by UT-Battelle as a federally funded research and development center (FFRDC) under a contract with the DOE. ORNL is the largest science and energy national laboratory in the Department of Energy system by acreage and by annual budget. ORNL is located in Oak Ridge, Tennessee, near Knoxville. ORNL's scientific programs focus on materials, neutron science, energy, high-performance computing, systems biology and national security.",
OS,/,CE,1960,Operating System,"Software that manages computer hardware, software resources, and provides various services for computer programs.",Oversize
OSHA,/,CE,1970,Occupational Safety and Health Administration,"An agency of the United States Department of Labor. Its mission is to ensure safe and healthful working conditions for working men and women by setting and enforcing standards and by providing training, outreach, education and assistance.",
